O&M MASONRY CORP,MASONRY WORK 
"OCEAN SPRAY AGRICULTURE SUPPLY, INC.",HOLDING COMPANY
"OCEAN SPRAY CRANBERRIES, INC.",AGRICULTURAL OPERATIONS INCLUDING FARMING OFCRANBE
"OCEAN SPRAY INTERNATIONAL LEASING, INC.",LEASING
"OCEAN SPRAY INTERNATIONAL, INC.",MARKETING OF CRANBERRY AND CITRUS PRODUCTS
"OCEAN SPRAY INTERNATIONAL SERVICES, INC.",MARKETING OF CRANBERRY AND CITRUS PRODUCTS
"OCEAN STARS PI, INC.",SALES AND CONSULTING SERVICES
"OCEAN STATE BUSINESS DEVELOPMENT AUTHORITY, INC.",SBA 504 LOANS
"CMG, INC.",REAL ESTATE DEVELOPMENT
"OCEAN STATE COATINGS, LLC",PAINT SUPPLY/BROKER
"DESIGN COLLABORATIVE, INC.",INTERIOR DESIGN FIRM
"OCEAN STATE DEVELOPMENT, LLC",TO BUY AND SELL LAND
"OCEAN STATE FORKLIFTS, INC.",RETAIL SALES OF MATERIAL HANDLING EQUIPMENT
"OCEAN STATE HOLDINGS, LLC",REAL ESTATE
"OCEAN STATE INSURANCE & FINANCIAL SERVICES, INC.",INSURANCE SALES
"OCEAN STATE JANITORIAL SERVICES, INC.",CLEANTECH SERVICES
"OCEAN STATE JOB LOT OF MA2007, LLC","TO ENGAGE IN ANY PERMITTED ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING,"
"OCEAN STATE JOB LOT OF CHICOPEE, INC.",BUY & SELL GEN MERCHANDISE AT WHOLESALE & RETAIL
"OCEAN STATE JOB LOT OF CHICOPEE, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA02, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF E. BRIDGEWATER,","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF FAIRHAVEN, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF HYANNIS, INC.",BUY & SELL GEN. MERCHANDISE @ WHOLESALE & RETAIL
"OCEAN STATE JOB LOT STORES OF MA, INC.",BUY & SELL GEN. MERCHANDISE @ WHOLESALE & RETAIL
"OCEAN STATE JOB LOT OF MA2003, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2005, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2008, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2009, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2010, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2011, LLC",3. THE PURPOSES OF THE COMPANY ARE TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITT
"OCEAN STATE JOB LOT OF MA2012, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2013, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MA2015, LLC",OPERATE A RETAIL MERCHANDISE STORE
"OCEAN STATE JOB LOT OF MA2018, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING WIT"
OCEAN STATE JOB LOT OF MA2019 LLC,"TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING WIT"
"OCEAN STATE JOB LOT OF MARSHFIELD, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF MEDWAY, INC.",BUY & SELL GEN. MERCHANDISE @ WHOLESALE & RETAIL
"OCEAN STATE JOB LOT OF MIDDLEBORO, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT STORES OF SE MA, INC.",BUY & SELL GEN. MERCHANDISE @ WHOLESALE & RETAIL
"OCEAN STATE JOB LOT OF NORWOOD, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF PLYMOUTH, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF QUINCY, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF ROCKLAND, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF SEEKONK, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF SOUTH YARMOUTH, INC.",BUY & SELL GEN. MERCHANDISE @ WHOLESALE & RETAIL
"OCEAN STATE JOB LOT OF SOUTHBRIDGE, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF TAUNTON, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
"OCEAN STATE JOB LOT OF WESTBORO, LLC","TO ENGAGE IN ANY LAWFUL ACTIVITY PERMITTED UNDER THE LLC ACT, INCLUDING, WIT"
OCEAN STATE MORTGAGE CORPORATION,MORTGAGE BROKER
"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",HEALTH MAINTENANCE ORGANIZATION
"OCEAN STATE POWDER COATING OF MASSACHUSETTS, INC.",POWDER COATING
OCEAN STATE POWER LLC,POWER GENERATION
OCEAN STATE RADON INCORPORATED,RADON RELATED SERVICES
"OCEAN STATE REVERSE FINANCING, INC.",MORTGAGE BROKER
OCEAN STATE SIGNAL CO.,DISTRIBUTION OF TRAFFIC CONTROL EQUIPMENT
"OCEAN STATE TECHNICAL SERVICES, LLC","MECHANICAL ENGINEERING, NON DESTRUCTIVE TESTING, WELDING AND MECHANICAL S"
"OCEAN STATE TIRE CO., INC.",OCEAN STATE TIRE
OCEAN STEEL & CONSTRUCTION LTD.,STEEL FABRICATION AND ERECTION
OCEAN STEEL CORPORATION,STRUCTURAL STEEL FABRICATION
HOLBROOK-RANDOLPH AUTO BODY INC,"AUTO REPAIR, MAINTENANCE, AND REFURBISHING"
OCEAN STREET CAFE & DELI INC.,CAFE AND DELI
"OCEAN STREET GAS, INC.",GAS STATION
OCEAN STREET JUICE & CAFE INC.,JUICE BAR AND CAFE/RESTAURANT
"OCEAN STREET MOTORS, INC.",AUTO SALES
OCEAN SURGICAL LLC,MEDICAL DEVICE SALES.
"OCEAN SYSTEMS,INC.",WATER SPORTS RETAIL
"OCEAN TECHNICAL SERVICES, LLC",MARINE CONSULTING SERVICES
OCEAN TERMINAL CORPORATION,CHINESE FOOD RESTAURANT
"OCEAN TRADING INTERNATIONAL, INC.",SUPPLIER/PURCHASING AGENT: TUNA PROCESSING/PACKING
"OCEAN TRANSPORTATION SERVICES, INC.",TRANSPORTATION
"OCEAN TREASURE, INC.",FULL SERVICE RESTAURANT
OCEAN VIEW AUTO SALES LLC,BUYING AND SELLING RETAIL AND WHOLESALE USED VEHICLES.
"OCEAN VIEW ENTERPRISES, LLC",THE PRINCIPAL BUSINESS ACTIVITY AND PURPOSE SHALL BE TO OWN AND OPERATE REAL
"OCEAN VIEW ENTITIES, LLC",THE ENTITY WAS FORMED TO OWN AND MANGE A SPECIFIC PIECE OF REAL PROPERTY.
OCEAN VIEW FINANCE LLC,"LENDING, MORTGAGE LENDING, REAL ESTATE INVESTMENT, DEVELOPMENT, RENTAL AND"
OCEAN VIEW GROUP LLC,"REAL ESTATE OWNERSHIP, LEASING AND RENTAL, AND RELATED ADMINISTRATION AND"
"OCEAN VIEW INVESTMENTS, LLC",REAL ESTATE
OCEAN VIEW PHARMACEUTICAL CONSULTING,TO PROVIDE BUSINESS CONSULTING SERVICES AND TO TRANSACT ANY AND ALL LAWFU
"OCEAN VIEW PROPERTIES, LLC","TO DEVELOP REAL ESTATE; TO RENOVATE, REPAIR AND IMPROVE EXISTING BUILDINGS"
"OCEAN VISTA CC, LLC",SEASONAL REAL ESTATE MANAGEMENT AND ACQUISTION OF SEASONAL RENTAL PROPE
"OCEAN WAVE CLEANING, LLC",OFFICE AND RESIDENTIAL CLEANING SERVICES
OCEAN WAVE SCALLOP CO. INC.,COMERCIAL FISHING
"AVIGHNA TECHNOLOGIES, INC.",SOFTWARE DEVELOPMENT AND CONSULTING SERVICES
"OCEAN WAVES, LLC",REAL ESTATE DEVELOPMENT
"OCEAN WIND ENERGY SYSTEMS, INC.",DEVELOP WIND POWER SYSTEMS
"OCEAN WORKS, INC.",METAL FABRICATION
OCEAN WORLD EARLY LEARNING & CARE CENTER INC,TO ENGAGE IN CHILD CARE BUSINESS
"OCEAN'S CATCH, LLC",SALES
"OCEAN'S DOJO, LLC","TO ENGAGE IN INVESTMENT IN, AND OWNERSHIP, LEASING AND DEVELOPMENT OF REAL"
"OCEAN'S EDGE ASSOCIATES, LLC",ENGAGE IN INVESTING IN OPPORTUNISTIC VENTURES IN VARIOUS ASSET CLASSES
"OCEAN'S ELEVEN II, LLC","THE PURPOSE OF THE COMPANY IS TO, DIRECTLY OR INDIRECTLY, ACQUIRE, INVEST IN, H"
OCEAN'S ELEVEN LIMITED PARTNERSHIP,"TO ACQUIRE, INVEST IN, OWN, HOLD, ENCUMBER, SELL, CONVERT, EXCHANGE, MANAGE"
"OCEAN'S TABLE, LLC",THE DIRECT-TO-CONSUMER SALE OF VARIOUS SPECIES OF FISH TO CONSUMERS THROUG
"OCEAN'S VIEW ON BARTLETT POND, INC.","OWN, MANAGE AND SELL REAL ESTATE"
"OCEAN, INC.",OWN AND OPERATE RESTAURANTS
"OCEAN-STAR INSURANCE AND STEAMSHIP AGENCY, INC.",INSURANCE
"OCEANA COTTAGES, INC.",LODGING
"OCEANA OF ORLEANS, LLC","TO ENGAGE IN THE BUSINESS OF RETAIL SALES, MAIL ORDER CATALOG AND ONLINE SAL"
"OCEANA, INC.",GIFT SHOP
OCEANAIR INC.,FREIGHT FORWARDERS CUSTOMS BROKER
OCEANAIR WAREHOUSING LLC,"WAREHOUSING, DISTRIBUTION AND FULFILLMENT"
"OCEANAUTICS, INC.",TOUR BOAT
OCEANAVENUE CONDOMINIUM MANAGEMENT CORP,CONDOMINIUM MANAGEMENT
OCEANBLUE 15 LLC,TO MAKE INVESTMENTS.
OCEANBRIDGE CORPORATION,BAR
"OCEANEERING INTERNATIONAL, INC.",TECHNICAL SERVICES & PRODUCTS
"OCEANFRONT DONUTS, INC.",RETAIL TRADE FOOD AND DRINK
"OCEANFRONT EVENTS, INC.",VACATION RENTAL AND FUNCTIONS
"OCEANFRONT REALTY, INC.",REAL ESTATE
"OCEANFRONT SOUTH REALTY, LLC","TO BUY, SELL, OWN AND MANAGE REAL PROPERTY AND ALL OTHER LAWFUL PURPOSES."
"OCEANFRONT, INC.,",REAL ESTATE RENTAL
"OCEANGATE MORTGAGE CO., INC.",MORTGAGE BROKER
"OCEANIA CRUISES, INC.",PASSENGER CRUISE LINE
OCEANIC INNOVATIONS LLC,LAND AND BUSINESS DEVELOPMENT RELATED TO RIVER AND MARINE ECOLOGICAL
"OCEANIC TRADEWINDS, INC.",MUSIC PRODUCTION & MANAGEMENT
OCEANICK LLC,MORTGAGE LENDING & REAL ESTATE VENTURES
"OCEANO, INC.",REAL ESTATE RENTALS
"OCEANOGRAPHIC INSTRUMENT SYSTEMS, INC.",MANUFACTURE OF OCEANOGRAPHIC INSTRUMENTATION
"OCEANOMICS, LLC","WHOLESALE - AGENT/BROKER - SEAFOOD, MEAT, PRODUCE AND DAIRY PRODUCTS."
"OCEANPASS, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO BUY, SELL AND MANAGE R"
"OCEANPOINT INSURANCE AGENCY, INC.",THE SALE OF INSURANCE AS AN INSURANCE AGENCY.
"OCEANS ALIVE SCALLOPS, CORP.",SEAFOOD DEALER
"OCEANS FATHER, OCEANS VIEW LLC","COURIER DELIVERY ,IT PROVIDES MEDICAL LOGISTICS AND LAB COURIER SERVICES TO H"
"OCEANS HARBOR, LLC","OPERTER A PUBLIC FUND, BEVERAGE AND BAR RETAIL BUSINESS AND ANY OTHER LAWFU"
"L3 OCEANSERVER, INC.",MANUFACTURER OF ELECTRONIC DEVICES
"OCEANSIDE AUTO SALES, INC.",USED CAR SALES
"CONFERENCE MEDAL & TROPHY CO., INC.",AWARDS MANUFACTURER
"OCEANSIDE BUILDERS, INC.",CONSTRUCTION
"OCEANSIDE CABINETS, INC.",CABINET RETAILER
"OCEANSIDE CAPITAL, INC.",PRIVATE INVESTMENT
OCEANSIDE CONSTRUCTION & DEVELOPMENT,CONSTRUCTION GENERAL MANAGEMENT
"OCEANSIDE CONSTRUCTION SERVICES, INC.",CONSTRUCTION
"OCEANSIDE DENTAL ASSOCIATES, PC",DENTAL OFFICE
"OCEANSIDE ELECTRIC, INC.",INSTALLATION OF WIRING IN HOMES AND BUILDINGS
"OCEANSIDE INN, INC.",BED & BREAKFAST
"OCEANSIDE INVESTMENTS, LLC",INVESTMENTS
OCEANSIDE LANDSCAPING LLC,LANDSCAPING AND SMALL CONSTRUCTION JOBS.
OCEANSIDE MEDIA LLC,MEDIA CONSULTING
OCEANSIDE MEDICAL TRANSPORTATION INC.,MEDICAL TRANSPORTATION
OCEANSIDE MORTGAGE COMPANY,ORIGINATE AND REFINANCE MORTGAGE LOANS.
"OCEANSIDE MORTGAGE GROUP, INC.",MORTGAGE BROKER
OCEANSIDE MOTEL LLC,MOTEL AND ASSOCIATED BUSINESS
CAPE & ISLANDS BUILDERS GROUP INC,PAINTING CONTRACTOR
"OCEANSIDE PILATES & YOGA STUDIO, LLC",YOGA AND PILATES
"R.P. PLUMBING & HEATING, INCORPORATED",PLUMBING AND HEATING SERVICES
OCEANSIDE PROPERTIES AND DEVELOPMENT CORP.,PROJECT MANAGEMENT AND PROPERTY REDEVELOPMENT
"OCEANSIDE PROPERTY INVESTMENTS, LLC",REAL ESTATE INVESTMENT AND MANAGEMENT
"OCEANSIDE REAL ESTATE, LLC",OWN A 2 FAMILY IN HANSON MA.02341
"OCEANSIDE REALTY GROUP, INC.",TO PROVIDE REAL ESTATE AGENCY SERVICES
"OCEANSIDE RESTAURANT GROUP, LLC",FULL SERVICE RESTAURANT- FOOD AND BEVERAGE (SERVICE).
"OCEANSIDE SEPTIC SERVICES, INC.",SEPTIC PUMPING & REPAIR
"OCEANSIDE SEPTIC, INC.",SEPTIC SYSTEM PUMPING
"OCEANSIDE WOODWORKING, INC.",CUSTOM CABINET AND FURNITURE BUILDING.
"OCEANSIDE, INC.",CONSTRUCTION
"OCEANSPRING INTERNATIONAL GROUP, LLC","OUR BUSINESS IS TO ORGANIZE DOMESTIC AND INTERNATIONAL EVENTS IN EDUCATION,"
"OCEANSTAR SYSTEMS, INC.",SERVICE AND SUPPORT SCIENTIFIC EQUIPMENT
"OCEANTECHUSA, INC.",COASTAL MEASUREMENT
OCEANTIME INC.,"ELECTRONIC DEVICES, INSTRUMENTS, MARINE EQUIPMENT."
OCEANTOWN LLC,"TO ACQUIRE, OWN, FINANCE, LEASE, MANAGE AND SELL OR OTHERWISE DISPOSE OF REA"
"OCEANUS ADVISORY GROUP, LLC",THE LLC PROVIDES BUSINESS DEVELOPMENT/CONSULTING SERVICES.
"OCEANUS CONSULTING, INC.",COMPETITIVE SWIMMING RELATED ENTERPRISES
"OCEANUS DESIGN, LLC",ARCHITECTURAL SERVICES
"OCEANUS MARINE, INC.",CHARTERING SERVICE
"OCEANUS OYSTERS, LLC",AQUACULTURE
OCEANVIEW AP LLC,"TO OWN, SELL, LEASE, DEVELOP, MORTGAGE AND MANAGE THE REAL PROPERTY, THE REL"
OCEANVIEW ATLANTIC GP LLC,REAL ESTATE INVESTMENT
OCEANVIEW ATLANTIC LIMITED PARTNERSHIP,REAL ESTATE INVESTMENT
OCEANVIEW COMMERCIAL MORTGAGE,COMMERCIAL MORTGAGES
OCEANVIEW DRIVE LLC,REAL ESTATE
OCEANVIEW EXPRESS INC,TRANSPORTATION SERVICES
OCEANVIEW FARM LLC,REAL ESTATE HOLDINGS
"OCEANVIEW KENNEL, LLC","CANINE BOARDING, DOGGY DAY CARE, PET GROOMING AND ANY OTHER ACTIVITIES."
"OCEANVIEW LANDSCAPING, INC.",LANDSCAPING - COMPANY HAS NOT OPERATED SINCE 8/06
OCEANVIEW LIFE AND ANNUITY COMPANY,ALL LAWFUL BUSINESS
"OCEANVIEW MANAGEMENT, LLC",PROPERTY MANAGEMENT
"OCEANVIEW PAINTING, INC.",PAINTING BUSINESS
OCEANVIEW REAL ESTATE LLC,REAL ESTATE
"OCEANVIEW SANCTUARY, LLC",SINGLE MEMBER LLC CREATED FOR THE PURPOSE OF MANAGING A SINGLE RENTAL PROP
OCEANVILLA LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO (I) ACQUIRE, HOLD"
"OCEANWIND TECHNOLOGY, LLC","- DEVELOPMENT, DEPLOYMENT AND SALE OF OFFSHORE WIND TURBINE FOUNDATION S"
WOODLAND CONTRACTING CORPORATION,CONTRACTING AND CONSTRUCTION
"OCELOT LIVERY SERVICE, INC.",TRANPORT PEOPLE TO AIRPORTS
"OCELOT OPERATIONS, LLC","THE LLC IS TO BE USED FOR THE INVESTMENT, DEVELOPMENT, AND OPERATION OF REAL"
"OCET USA, INC.",RESELLER
"OCFA, INC.",OWN/LEASE REAL ESTATE
"OCH APARTMENTS, LLC",REAL ESTATE INVESTMENT
"OCH CONSULTING, LLC",PROVIDING PSYCHIATRIC CONSULTING SERVICES. THE LLC WILL ABIDE BY AND BE
OCH HOLDINGS LLC,"TO OWN REAL PROPERTY IN BOSTON, MASSACHUSETTS."
"OCH PROPERTY, LLC",REAL ESTATE HOLDING COMPANY
"OCH8A CONSTRUCTION, INC.",CONSTRUCTION SERVICES
"OCHA, LLC",INVESTMENT COMPANY
"OCHER, LLC",TO ENGAGE IN THE BUSINESS OF REAL ESTATE MANAGEMENT IN THE COMMONWEALTH
OCHO CAFE OF MA INC.,RESTAURANT SERVICES
"OCHOA , INC.",SALON & SPA
OCHOA CORPORATION.,RETAIL SALES
OCHOA LANDSCAPING AND MASONRY DESIGN,LANDSCAPING AND MASONRY DESIGN SERVICES
"OCHOA TRANSPORTATION, INC.",TRANSPORTATION OF CARGO
"OCHS, INC.",GROUP TERM LIFE INSURANCE
"OCHSENDORF, DEJONG & BLOCK, LLC",STRUCTURAL ENGINEERING CONSULTING
"OCHYO, INC.",OCHYO INC.
"OCI HOLDINGS, INC.",HOLDING COMPANY
"OCI OFFICE CONCEPTS, INC.",RESALE OF OFFICE FURNITURE
"OCI SOLUTIONS, LLC",LIFE INSURANCE BROKERAGE
OCK COMPUTER CORP.,COMPUTER PROGRAMMER/CONSULTANT
OCK HOLDINGS LLC,AUTO PARTS SOURCING AND DISTRIBUTION.
"OCKAM REALTY, LLC",REAL ESTATE INVESTMENTS
OCKERBLOOM LLC,A RETAIL ART STUDIO AND GIFT SHOP OFFERING ART AND CREATIVE SPACE FOR ALL AGE
"OCKWAY BAY FINANCIAL, L.L.C.",FINANCIAL SERVICES
"OCLC, INC.",PROVIDE LIBRARIES COMPUTER AND BIBLIO SERVICES
"OCLEN 101 REALTY, LLC",REAL ESTATE
"OCLEN 400 REALTY, LLC","TO PURCHASE, ACQUIRE, BUY, SELL, OWN (EITHER DIRECTLY OR AS THE HOLDER OF A BE"
"OCLEN GLOBAL - MA, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO OWN, OPERATE, DEVELOP,"
"OCLEN II, LLC",REAL ESTATE
"OCM MORTGAGE, INC.",MORTGAGE BROKER
"OCM, INC.",FOOD MANUFACTURING
"OCMP INTERNATIONAL, LLC",THE COMPANY WILL ENGAGE IN OFF-CAMPUS AND ON-CAMPUS MEAL PLANS FOR COLLE
"OCMP, INC.",COLLEGE MEAL PLANS
"OCMULGEE ASSOCIATES, INC.",CONSULTING STRUCTURAL ENGINEERING
"OCN PHYSICIANS, P.C.",HEALTHCARE SERVICES
OCO ARCHITECTURE & DESIGN LLC,"TO PROVIDE ARCHITECTURAL PLANNING, CONSULTING AND DESIGN SERVICES."
"OCO ARCHITECTURE & DESIGN, INC.",ARCHITECTURAL DESIGN SERVICES
"CAICO, INC.",SOFTWARE AS A SERVICE
OCOA MARKET INC.,GROCERY STORE
"OCOMA INDUSTRIES, INC.",OPERATION OF AN AUTO CLUB
OCONCO MARKETING INC.,INTERNET MARKETING
"OCONNELL ARCHITECTURE, INC.",ARCHITECTURAL SERVICES
"OCONNELL AVIATION MANAGEMENT, LLC",SERVICE: AIRCRAFT MANAGEMENT.
OCONNOR L.S. CORP.,LAUNDRY AND OTHER SERVICES
OCONNORS16 REALTY LLC,COMMERCIAL REAL ESTATE RENTAL
OLIVIA'S PROPERTIES LLC,REAL ESTATE RENTAL
OCOTEA TECHNOLOGIES LLC,MOBILE SOFTWARE DEVELOPMENT
"OCP CONTRACTORS, INC.","COMMERCIAL WALL, CEILING AND PAINTING CONTRACTOR"
OCP REALTY LLC,REAL ESTATE INVESTMENTS
OCP RESEARCH LLC,PRIMARILY ENGAGED IN THE MARKET RESEARCH AND DEVELOPMENT OF FERTILIZER AN
"OCPD, LLC","TO ENGAGE IN THE BUSINESS OF INVESTMENT, OWNERSHIP AND DEVELOPMENT OF REAL"
"OCPW MANAGEMENT COMPANY, LLC",FINANCIAL SERVICES
"OCR ATLANTIC AVENUE 12, LLC","TO OWN, OPERATE, LEASE, MANAGE, DEVELOP AND OTHERWISE DEAL WITH REAL AND PE"
"OCR BEAST, LLC","PROVIDE OBSTACLE COURSE RACING RELATED TRAINING TOOLS, AND RELATED BUSINES"
"OCR COMMERCIAL STREET 147, LLC","TO OWN, OPERATE, LEASE, DEVELOP AND OTHERWISE DEAL WITH REAL AND PERSONAL P"
OCR LLC,REAL ESTATE BROKERAGE
OCREX INC.,SALE OF FINANCIAL SOFTWARE
OCS ACQUISITION CORP.,OFFICE SUPPLIES
OCS CONSTRUCTION LLC,CONSTRUCTION SERVICES
"OCT USA, INC.",DISTRIBUTING COSMETICS AND R&D
OCTABAND LLC,"MANUFACTURE, SALE AND DISTRIBUTION."
OCTAGON CORP.,TELECOMMUNICATIONS AGENCY.
OCTAGON ENTERPRISES INC.,PRODUCTS AND SERVICES FOR MEDICAL DEVICES
"OCTAGON INVESTMENTS, LLC",THE COMPANY MAY ENGAGE IN ANY LAWFUL BUSINESS PERMITTED BY THE MASSACHUS
"OCTAGON MARKETING AND ATHLETE REPRESENTATION, INC.",MARKETING SERVICES.
"OCTAGON PROPERTIES, LLC",MANAGEMENT OF CERTAIN CORPORATE OFFICE CONDOMINIUMS
OCTAGON PROPERTY MANAGEMENT CORP.,REAL ESTATE MANAGEMENT
"OCTAGON RISK SERVICES, INC.",INSURANCE CLAIMS ADMINISTRATION
OCTAGON SYSTEMS CORPORATION,"DESIGN, MANUFACTURE RUGGED COMPUTER EQUIPMENT"
"OCTAGON THERAPEUTICS, INC.",PHARMACEUTICAL RESEARCH AND DEVELOPMENT
"OCTAL NORTHEAST CONSULTING SERVICES, INC.",IT CONSULTING
"OCTANE DESIGN, INC.",DEVELOP TECHNOLOGY
"OCTANT ANALYTICS, INC.",DATA ANALYTICS AND SOFTWARE DEVELOPMENT
"OCTANT ANALYTICS, LLC",DATA ANALYTICS AND INFORMATION TECHNOLOGY
"OCTANT BUSINESS SERVICES, LLC","COMMERCIAL LENDING PROGRAM SERVICES INCLUDING MARKETING, UNDERWRITING, D"
"OCTANT MARKETING, INC.",MEDICAL RECRUITING
"OCTANT, INC.",REAL ESTATE DEVELOPMENT
"OCTAPHARMA PLASMA, INC.",OPERATING BLOOD PLASMA CENTERS
"OCTAPHARMA USA, INC.",SALE OF PHARMACEUTICAL PRODUCTS
"OCTARIUSRX, LLC","TO PROVIDE PHARMACY RELATED CONSULTING SERVICES FOR PATIENTS, HEALTH CARE"
"HEXASTAX TECHNOLOGY SOLUTIONS, INC.",SOFTWARE CONSULTING
AVAYA INTEGRATED CABINET SOLUTIONS INC.,Address (no PO Box)
"MACNICA AMERICAS, INC.",ELECTRONICS COMPONENT DISTRIBUTION
"OCTERNION CONSULTANTS, INC.","SOFTWARE DESIGN, DEVELOPMENT, SALES AND SUPPORT"
OCTET RESEARCH INC.,CONSULTING SERVICE TO HEALTHCARE RELATED INDUSTRY.
OCTO ADVISORY INC.,CONSULTING AND USAGE-BASED INSURANCE SCORING SERVI
OCTO AMERICAS GROUP INC.,INVESTMENT HOLDING COMPANY
"OCTO ANALYTICS, LLC",PROVIDES SERVICES RELATED TO DEVELOPMENT AND MARKETING OF USAGE-BASED PER
"OCTO TELEMATICS NORTH AMERICA, LLC",TELEMATIC SERVICES FOR THE INSURANCE AND AUTOMOTIVE MARKETS
"OCTO48, LLC",TO ENGAGE IN ANY LAWFUL ACT OR ACTIVITY FOR WHICH LIMITED LIABILITY COMPANIE
"OCTOBER 5 ENTERPRISES, LLC",RENTAL BUSINESS
OCTOBER COMMUNICATIONS CORPORATION,CONSULTING
"OCTOBER COMPANY INTERNATIONAL, LLC","TO ENGAGE IN THE MANUFACTURE AND SALE OF SPECIALTY FURNITURE ITEMS, ETC."
OCTOBER DEVELOPMENT LLC,"INVESTMENT, DEVELOPMENT, AND RENOVATION WORK FOCUSED PRIMARILY IN THE RES"
"OCTOBER EAST ASSOCIATES, INC.",BUSINESS AND SOFTWARE CONSULTING
OCTOBER ENGINEERING ASSOCIATES INC.,ENERGY SERVICES CONSULTING
OCTOBER ENGINEERING ASSOCIATES LLC,ENGINEERING SERVICES
"OCTOBER FARM, LLC",EQUINE BOARDING & LESSON FACILITY
OCTOBER HILL LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS:(I) TO PURCHASE, OWN, DEVE"
"OCTOBER HOLDINGS, LLC",THE PURPOSE OF THE LIMITED LIABILITY COMPANY IS TO HOLD AND MANAGE BUSINESS I
OCTOBER MOUNTAIN FARM LLC,AGRICULTURE/TOURISM
"OCTOBER MOUNTAIN GOODS, LLC",RETAIL
SILVER BEAR DISTILLERY LLC,FARMER DISTILLERY.
"OCTOBER NOW CAPITAL, INC.",REAL ESTATE - PROPERTY DEVELOPMENT
"OCTOBER PROPERTIES, LLC","(A) TO ACQUIRE BY PURCHASE, LEASE, OR OTHERWISE, AND TO OWN, IMPROVE AND TO D"
"OCTOBER SKIES, INC.",HOME INSPECTIONS
